,rally,time,roundscore_A,roundscore_B,player,type,lose_reason,getpoint_player
0,1,00:05:47,1,0,B,發長球,,
1,1,00:05:49,1,0,A,切球,,
2,1,00:05:50,1,0,B,挑球,,
3,1,00:05:51,1,0,A,長球,,
4,1,00:05:52,1,0,B,殺球,,
5,1,00:05:53,1,0,A,擋小球,,
6,1,00:05:54,1,0,B,勾球,,
7,1,00:05:55,1,0,A,推球,對手落地致勝,A
8,2,00:06:10,1,1,A,未知球種,,
9,2,00:06:11,1,1,B,長球,,
10,2,00:06:12,1,1,A,長球,,
11,2,00:06:13,1,1,B,點扣,對手落地致勝,B
12,3,00:06:28,2,1,B,發長球,,
13,3,00:06:30,2,1,A,長球,,
14,3,00:06:31,2,1,B,殺球,,
15,3,00:06:32,2,1,A,擋小球,,
16,3,00:06:33,2,1,B,推球,,
17,3,00:06:34,2,1,A,殺球,,
18,3,00:06:34,2,1,B,擋小球,,
19,3,00:06:35,2,1,A,推球,,
20,3,00:06:36,2,1,B,長球,,
21,3,00:06:37,2,1,A,殺球,,
22,3,00:06:38,2,1,B,勾球,,
23,3,00:06:39,2,1,A,挑球,,
24,3,00:06:40,2,1,B,長球,,
25,3,00:06:41,2,1,A,切球,,
26,3,00:06:42,2,1,B,放小球,,
27,3,00:06:43,2,1,A,挑球,,
28,3,00:06:45,2,1,B,後場抽平球,,
29,3,00:06:46,2,1,A,切球,對手落地致勝,A
30,4,00:07:04,3,1,A,發短球,,
31,4,00:07:05,3,1,B,推球,,
32,4,00:07:06,3,1,A,長球,,
33,4,00:07:07,3,1,B,切球,未過網,A
34,5,00:07:33,3,2,A,發短球,,
35,5,00:07:34,3,2,B,勾球,,
36,5,00:07:34,3,2,A,放小球,掛網,B
37,6,00:07:50,3,3,B,未知球種,,
38,6,00:07:53,3,3,A,放小球,,
39,6,00:07:54,3,3,B,挑球,,
40,6,00:07:55,3,3,A,殺球,,
41,6,00:07:56,3,3,B,防守回抽,,
42,6,00:07:57,3,3,A,切球,,
43,6,00:07:57,3,3,B,挑球,,
44,6,00:07:59,3,3,A,長球,,
45,6,00:08:00,3,3,B,殺球,,
46,6,00:08:00,3,3,A,勾球,,
47,6,00:08:01,3,3,B,推球,,
48,6,00:08:02,3,3,A,長球,,
49,6,00:08:03,3,3,B,切球,,
50,6,00:08:04,3,3,A,挑球,,
51,6,00:08:06,3,3,B,切球,,
52,6,00:08:07,3,3,A,挑球,,
53,6,00:08:08,3,3,B,切球,,
54,6,00:08:09,3,3,A,挑球,出界,B
55,7,00:08:29,3,4,B,未知球種,,
56,7,00:08:33,3,4,A,放小球,,
57,7,00:08:34,3,4,B,推球,,
58,7,00:08:35,3,4,A,殺球,,
59,7,00:08:36,3,4,B,勾球,對手落地致勝,B
60,8,00:09:02,3,5,B,未知球種,,
61,8,00:09:06,3,5,A,殺球,,
62,8,00:09:06,3,5,B,擋小球,,
63,8,00:09:07,3,5,A,放小球,掛網,B
64,9,00:09:24,4,5,B,未知球種,,
65,9,00:09:26,4,5,A,長球,,
66,9,00:09:27,4,5,B,長球,,
67,9,00:09:28,4,5,A,長球,,
68,9,00:09:30,4,5,B,殺球,出界,A
69,10,00:09:48,5,5,A,未知球種,,
70,10,00:09:55,5,5,B,切球,,
71,10,00:09:57,5,5,A,推球,,
72,10,00:09:58,5,5,B,長球,,
73,10,00:09:59,5,5,A,切球,對手落地致勝,A
74,11,00:10:23,5,6,A,發短球,,
75,11,00:10:24,5,6,B,推球,,
76,11,00:10:25,5,6,A,過度切球,掛網,B
77,12,00:10:44,6,6,B,發長球,,
78,12,00:10:46,6,6,A,殺球,,
79,12,00:10:47,6,6,B,勾球,,
80,12,00:10:48,6,6,A,挑球,,
81,12,00:10:49,6,6,B,長球,,
82,12,00:10:50,6,6,A,過度切球,,
83,12,00:10:51,6,6,B,放小球,,
84,12,00:10:52,6,6,A,挑球,,
85,12,00:10:53,6,6,B,長球,,
86,12,00:10:54,6,6,A,殺球,,
87,12,00:10:55,6,6,B,放小球,,
88,12,00:10:56,6,6,A,推球,,
89,12,00:10:57,6,6,B,點扣,掛網,A
90,13,00:11:18,7,6,A,發短球,,
91,13,00:11:18,7,6,B,推球,,
92,13,00:11:20,7,6,A,長球,,
93,13,00:11:21,7,6,B,切球,,
94,13,00:11:22,7,6,A,放小球,,
95,13,00:11:23,7,6,B,勾球,,
96,13,00:11:24,7,6,A,挑球,,
97,13,00:11:25,7,6,B,後場抽平球,,
98,13,00:11:26,7,6,A,擋小球,,
99,13,00:11:27,7,6,B,推球,,
100,13,00:11:28,7,6,A,切球,,
101,13,00:11:29,7,6,B,挑球,,
102,13,00:11:30,7,6,A,長球,,
103,13,00:11:31,7,6,B,殺球,,
104,13,00:11:32,7,6,A,擋小球,,
105,13,00:11:33,7,6,B,挑球,出界,A
106,14,00:11:54,8,6,A,發短球,,
107,14,00:11:55,8,6,B,撲球,,
108,14,00:11:55,8,6,A,防守回抽,對手落地致勝,A
109,15,00:12:23,9,6,A,發短球,,
110,15,00:12:24,9,6,B,推球,,
111,15,00:12:25,9,6,A,後場抽平球,,
112,15,00:12:26,9,6,B,擋小球,,
113,15,00:12:26,9,6,A,挑球,,
114,15,00:12:28,9,6,B,長球,出界,A
115,16,00:12:45,10,6,A,未知球種,,
116,16,00:12:47,10,6,B,後場抽平球,,
117,16,00:12:48,10,6,A,切球,,
118,16,00:12:49,10,6,B,挑球,出界,A
119,17,00:13:06,11,6,A,未知球種,,
120,17,00:13:12,11,6,B,切球,,
121,17,00:13:13,11,6,A,挑球,,
122,17,00:13:14,11,6,B,長球,,
123,17,00:13:15,11,6,A,長球,,
124,17,00:13:16,11,6,B,長球,,
125,17,00:13:18,11,6,A,長球,,
126,17,00:13:19,11,6,B,長球,,
127,17,00:13:20,11,6,A,長球,,
128,17,00:13:22,11,6,B,過度切球,,
129,17,00:13:22,11,6,A,推球,,
130,17,00:13:23,11,6,B,殺球,,
131,17,00:13:24,11,6,A,擋小球,,
132,17,00:13:25,11,6,B,推球,出界,A
133,18,00:14:38,11,7,A,發短球,,
134,18,00:14:39,11,7,B,放小球,,
135,18,00:14:40,11,7,A,挑球,,
136,18,00:14:42,11,7,B,殺球,,
137,18,00:14:42,11,7,A,擋小球,掛網,B
138,19,00:15:04,11,8,B,發長球,,
139,19,00:15:06,11,8,A,長球,,
140,19,00:15:08,11,8,B,長球,,
141,19,00:15:09,11,8,A,切球,,
142,19,00:15:10,11,8,B,放小球,,
143,19,00:15:11,11,8,A,挑球,,
144,19,00:15:12,11,8,B,殺球,,
145,19,00:15:13,11,8,A,勾球,,
146,19,00:15:14,11,8,B,推球,,
147,19,00:15:15,11,8,A,長球,,
148,19,00:15:16,11,8,B,長球,,
149,19,00:15:16,11,8,A,切球,,
150,19,00:15:18,11,8,B,挑球,,
151,19,00:15:19,11,8,A,長球,,
152,19,00:15:20,11,8,B,點扣,,
153,19,00:15:21,11,8,A,擋小球,掛網,B
154,20,00:15:52,11,9,B,發長球,,
155,20,00:15:54,11,9,A,切球,,
156,20,00:15:55,11,9,B,放小球,,
157,20,00:15:56,11,9,A,放小球,,
158,20,00:15:57,11,9,B,撲球,對手落地致勝,B
159,21,00:16:18,12,9,B,未知球種,,
160,21,00:16:19,12,9,A,長球,,
161,21,00:16:20,12,9,B,殺球,,
162,21,00:16:21,12,9,A,擋小球,,
163,21,00:16:21,12,9,B,推球,出界,A
164,22,00:17:01,13,9,A,發長球,,
165,22,00:17:02,13,9,B,殺球,,
166,22,00:17:02,13,9,A,擋小球,,
167,22,00:17:03,13,9,B,挑球,,
168,22,00:17:04,13,9,A,切球,,
169,22,00:17:05,13,9,B,挑球,,
170,22,00:17:07,13,9,A,殺球,,
171,22,00:17:07,13,9,B,擋小球,,
172,22,00:17:08,13,9,A,挑球,,
173,22,00:17:09,13,9,B,切球,,
174,22,00:17:10,13,9,A,挑球,,
175,22,00:17:11,13,9,B,切球,,
176,22,00:17:12,13,9,A,放小球,,
177,22,00:17:13,13,9,B,挑球,,
178,22,00:17:15,13,9,A,切球,,
179,22,00:17:16,13,9,B,放小球,,
180,22,00:17:17,13,9,A,推球,,
181,22,00:17:18,13,9,B,過度切球,,
182,22,00:17:19,13,9,A,放小球,,
183,22,00:17:20,13,9,B,推球,,
184,22,00:17:21,13,9,A,長球,,
185,22,00:17:22,13,9,B,切球,,
186,22,00:17:23,13,9,A,放小球,,
187,22,00:17:24,13,9,B,放小球,,
188,22,00:17:25,13,9,A,推球,,
189,22,00:17:26,13,9,B,長球,,
190,22,00:17:27,13,9,A,長球,,
191,22,00:17:29,13,9,B,長球,,
192,22,00:17:29,13,9,A,長球,,
193,22,00:17:31,13,9,B,切球,掛網,A
194,23,00:17:58,13,10,A,未知球種,,
195,23,00:17:59,13,10,B,放小球,,
196,23,00:18:00,13,10,A,推球,,
197,23,00:18:01,13,10,B,長球,,
198,23,00:18:02,13,10,A,殺球,,
199,23,00:18:02,13,10,B,防守回抽,,
200,23,00:18:03,13,10,A,長球,,
201,23,00:18:04,13,10,B,點扣,,
202,23,00:18:04,13,10,A,推球,,
203,23,00:18:05,13,10,B,長球,,
204,23,00:18:06,13,10,A,長球,,
205,23,00:18:07,13,10,B,殺球,,
206,23,00:18:08,13,10,A,擋小球,,
207,23,00:18:09,13,10,B,放小球,,
208,23,00:18:10,13,10,A,挑球,,
209,23,00:18:12,13,10,B,殺球,,
210,23,00:18:13,13,10,A,防守回挑,,
211,23,00:18:14,13,10,B,後場抽平球,,
212,23,00:18:14,13,10,A,過度切球,,
213,23,00:18:15,13,10,B,撲球,,
214,23,00:18:16,13,10,A,平球,,
215,23,00:18:17,13,10,B,殺球,對手落地致勝,B
216,24,00:18:52,14,10,B,發長球,,
217,24,00:18:54,14,10,A,切球,,
218,24,00:18:55,14,10,B,勾球,,
219,24,00:18:56,14,10,A,放小球,,
220,24,00:18:57,14,10,B,推球,,
221,24,00:18:58,14,10,A,殺球,對手落地致勝,A
222,25,00:19:20,15,10,A,未知球種,,
223,25,00:19:21,15,10,B,推球,,
224,25,00:19:21,15,10,A,平球,,
225,25,00:19:22,15,10,B,擋小球,,
226,25,00:19:22,15,10,A,挑球,,
227,25,00:19:24,15,10,B,殺球,,
228,25,00:19:24,15,10,A,挑球,,
229,25,00:19:25,15,10,B,後場抽平球,,
230,25,00:19:26,15,10,A,切球,,
231,25,00:19:27,15,10,B,放小球,未過網,A
232,26,00:19:48,16,10,A,未知球種,,
233,26,00:19:49,16,10,B,挑球,,
234,26,00:19:50,16,10,A,長球,,
235,26,00:19:51,16,10,B,殺球,掛網,A
236,27,00:20:10,16,11,A,發短球,,
237,27,00:20:11,16,11,B,推球,,
238,27,00:20:12,16,11,A,殺球,,
239,27,00:20:12,16,11,B,勾球,,
240,27,00:20:13,16,11,A,放小球,,
241,27,00:20:14,16,11,B,放小球,,
242,27,00:20:15,16,11,A,推球,出界,B
243,28,00:20:54,17,11,B,未知球種,,
244,28,00:20:56,17,11,A,長球,,
245,28,00:20:57,17,11,B,長球,出界,A
246,29,00:21:15,18,11,A,發短球,,
247,29,00:21:16,18,11,B,推球,,
248,29,00:21:17,18,11,A,殺球,對手落地致勝,A
249,30,00:21:35,19,11,A,未知球種,,
250,30,00:21:37,19,11,B,長球,,
251,30,00:21:38,19,11,A,切球,,
252,30,00:21:39,19,11,B,推球,,
253,30,00:21:40,19,11,A,長球,,
254,30,00:21:41,19,11,B,長球,,
255,30,00:21:42,19,11,A,長球,,
256,30,00:21:44,19,11,B,殺球,,
257,30,00:21:44,19,11,A,擋小球,,
258,30,00:21:45,19,11,B,勾球,,
259,30,00:21:46,19,11,A,挑球,,
260,30,00:21:48,19,11,B,切球,,
261,30,00:21:49,19,11,A,勾球,,
262,30,00:21:49,19,11,B,放小球,,
263,30,00:21:50,19,11,A,挑球,,
264,30,00:21:52,19,11,B,殺球,,
265,30,00:21:53,19,11,A,擋小球,,
266,30,00:21:54,19,11,B,推球,,
267,30,00:21:55,19,11,A,長球,,
268,30,00:21:56,19,11,B,殺球,,
269,30,00:21:56,19,11,A,擋小球,,
270,30,00:21:57,19,11,B,放小球,,
271,30,00:21:58,19,11,A,挑球,,
272,30,00:22:00,19,11,B,切球,掛網,A
273,31,00:22:25,19,12,A,未知球種,出界,B
274,32,00:22:43,20,12,B,發長球,,
275,32,00:22:45,20,12,A,切球,,
276,32,00:22:46,20,12,B,放小球,,
277,32,00:22:47,20,12,A,挑球,,
278,32,00:22:49,20,12,B,切球,掛網,A
279,33,00:23:06,20,13,A,發短球,,
280,33,00:23:07,20,13,B,推球,,
281,33,00:23:08,20,13,A,過度切球,,
282,33,00:23:09,20,13,B,放小球,,
283,33,00:23:10,20,13,A,挑球,,
284,33,00:23:12,20,13,B,長球,,
285,33,00:23:13,20,13,A,殺球,出界,B
286,34,00:23:32,20,14,B,發長球,,
287,34,00:23:34,20,14,A,長球,,
288,34,00:23:35,20,14,B,長球,對手落地致勝,B
289,35,00:24:00,20,15,B,發長球,,
290,35,00:24:02,20,15,A,殺球,,
291,35,00:24:02,20,15,B,防守回抽,,
292,35,00:24:03,20,15,A,推球,,
293,35,00:24:04,20,15,B,後場抽平球,,
294,35,00:24:05,20,15,A,推球,,
295,35,00:24:06,20,15,B,長球,,
296,35,00:24:07,20,15,A,殺球,,
297,35,00:24:08,20,15,B,放小球,,
298,35,00:24:09,20,15,A,挑球,,
299,35,00:24:10,20,15,B,長球,,
300,35,00:24:12,20,15,A,長球,,
301,35,00:24:13,20,15,B,殺球,,
302,35,00:24:14,20,15,A,擋小球,,
303,35,00:24:15,20,15,B,撲球,,
304,35,00:24:15,20,15,A,防守回抽,,
305,35,00:24:15,20,15,B,殺球,,
306,35,00:24:16,20,15,A,防守回挑,,
307,35,00:24:17,20,15,B,殺球,,
308,35,00:24:17,20,15,A,擋小球,,
309,35,00:24:18,20,15,B,撲球,對手落地致勝,B
310,36,00:24:44,21,15,B,未知球種,,
311,36,00:24:58,21,15,A,切球,,
312,36,00:25:00,21,15,B,挑球,,
313,36,00:25:01,21,15,A,長球,,
314,36,00:25:02,21,15,B,長球,出界,A
