Unnamed: 0,rally,time,roundscore_A,roundscore_B,player,type,lose_reason,getpoint_player,score_difference
0,1,2025-09-28 00:05:47,1,0,B,發長球,,,1
1,1,2025-09-28 00:05:49,1,0,A,切球,,,1
2,1,2025-09-28 00:05:50,1,0,B,挑球,,,1
3,1,2025-09-28 00:05:51,1,0,A,長球,,,1
4,1,2025-09-28 00:05:52,1,0,B,殺球,,,1
5,1,2025-09-28 00:05:53,1,0,A,擋小球,,,1
6,1,2025-09-28 00:05:54,1,0,B,勾球,,,1
7,1,2025-09-28 00:05:55,1,0,A,推球,對手落地致勝,A,1
8,2,2025-09-28 00:06:10,1,1,A,未知球種,,,0
9,2,2025-09-28 00:06:11,1,1,B,長球,,,0
10,2,2025-09-28 00:06:12,1,1,A,長球,,,0
11,2,2025-09-28 00:06:13,1,1,B,點扣,對手落地致勝,B,0
28,3,2025-09-28 00:06:45,2,1,B,後場抽平球,,,1
29,3,2025-09-28 00:06:46,2,1,A,切球,對手落地致勝,A,1
19,3,2025-09-28 00:06:35,2,1,A,推球,,,1
27,3,2025-09-28 00:06:43,2,1,A,挑球,,,1
26,3,2025-09-28 00:06:42,2,1,B,放小球,,,1
15,3,2025-09-28 00:06:32,2,1,A,擋小球,,,1
13,3,2025-09-28 00:06:30,2,1,A,長球,,,1
12,3,2025-09-28 00:06:28,2,1,B,發長球,,,1
17,3,2025-09-28 00:06:34,2,1,A,殺球,,,1
16,3,2025-09-28 00:06:33,2,1,B,推球,,,1
18,3,2025-09-28 00:06:34,2,1,B,擋小球,,,1
14,3,2025-09-28 00:06:31,2,1,B,殺球,,,1
22,3,2025-09-28 00:06:38,2,1,B,勾球,,,1
25,3,2025-09-28 00:06:41,2,1,A,切球,,,1
24,3,2025-09-28 00:06:40,2,1,B,長球,,,1
23,3,2025-09-28 00:06:39,2,1,A,挑球,,,1
20,3,2025-09-28 00:06:36,2,1,B,長球,,,1
21,3,2025-09-28 00:06:37,2,1,A,殺球,,,1
30,4,2025-09-28 00:07:04,3,1,A,發短球,,,2
31,4,2025-09-28 00:07:05,3,1,B,推球,,,2
32,4,2025-09-28 00:07:06,3,1,A,長球,,,2
33,4,2025-09-28 00:07:07,3,1,B,切球,未過網,A,2
34,5,2025-09-28 00:07:33,3,2,A,發短球,,,1
35,5,2025-09-28 00:07:34,3,2,B,勾球,,,1
36,5,2025-09-28 00:07:34,3,2,A,放小球,掛網,B,1
53,6,2025-09-28 00:08:08,3,3,B,切球,,,0
54,6,2025-09-28 00:08:09,3,3,A,挑球,出界,B,0
39,6,2025-09-28 00:07:54,3,3,B,挑球,,,0
40,6,2025-09-28 00:07:55,3,3,A,殺球,,,0
41,6,2025-09-28 00:07:56,3,3,B,防守回抽,,,0
42,6,2025-09-28 00:07:57,3,3,A,切球,,,0
43,6,2025-09-28 00:07:57,3,3,B,挑球,,,0
44,6,2025-09-28 00:07:59,3,3,A,長球,,,0
45,6,2025-09-28 00:08:00,3,3,B,殺球,,,0
46,6,2025-09-28 00:08:00,3,3,A,勾球,,,0
47,6,2025-09-28 00:08:01,3,3,B,推球,,,0
48,6,2025-09-28 00:08:02,3,3,A,長球,,,0
49,6,2025-09-28 00:08:03,3,3,B,切球,,,0
50,6,2025-09-28 00:08:04,3,3,A,挑球,,,0
51,6,2025-09-28 00:08:06,3,3,B,切球,,,0
52,6,2025-09-28 00:08:07,3,3,A,挑球,,,0
37,6,2025-09-28 00:07:50,3,3,B,未知球種,,,0
38,6,2025-09-28 00:07:53,3,3,A,放小球,,,0
55,7,2025-09-28 00:08:29,3,4,B,未知球種,,,-1
56,7,2025-09-28 00:08:33,3,4,A,放小球,,,-1
57,7,2025-09-28 00:08:34,3,4,B,推球,,,-1
58,7,2025-09-28 00:08:35,3,4,A,殺球,,,-1
59,7,2025-09-28 00:08:36,3,4,B,勾球,對手落地致勝,B,-1
60,8,2025-09-28 00:09:02,3,5,B,未知球種,,,-2
61,8,2025-09-28 00:09:06,3,5,A,殺球,,,-2
62,8,2025-09-28 00:09:06,3,5,B,擋小球,,,-2
63,8,2025-09-28 00:09:07,3,5,A,放小球,掛網,B,-2
64,9,2025-09-28 00:09:24,4,5,B,未知球種,,,-1
65,9,2025-09-28 00:09:26,4,5,A,長球,,,-1
66,9,2025-09-28 00:09:27,4,5,B,長球,,,-1
67,9,2025-09-28 00:09:28,4,5,A,長球,,,-1
68,9,2025-09-28 00:09:30,4,5,B,殺球,出界,A,-1
69,10,2025-09-28 00:09:48,5,5,A,未知球種,,,0
70,10,2025-09-28 00:09:55,5,5,B,切球,,,0
71,10,2025-09-28 00:09:57,5,5,A,推球,,,0
72,10,2025-09-28 00:09:58,5,5,B,長球,,,0
73,10,2025-09-28 00:09:59,5,5,A,切球,對手落地致勝,A,0
74,11,2025-09-28 00:10:23,5,6,A,發短球,,,-1
75,11,2025-09-28 00:10:24,5,6,B,推球,,,-1
76,11,2025-09-28 00:10:25,5,6,A,過度切球,掛網,B,-1
77,12,2025-09-28 00:10:44,6,6,B,發長球,,,0
78,12,2025-09-28 00:10:46,6,6,A,殺球,,,0
79,12,2025-09-28 00:10:47,6,6,B,勾球,,,0
80,12,2025-09-28 00:10:48,6,6,A,挑球,,,0
81,12,2025-09-28 00:10:49,6,6,B,長球,,,0
82,12,2025-09-28 00:10:50,6,6,A,過度切球,,,0
83,12,2025-09-28 00:10:51,6,6,B,放小球,,,0
84,12,2025-09-28 00:10:52,6,6,A,挑球,,,0
85,12,2025-09-28 00:10:53,6,6,B,長球,,,0
86,12,2025-09-28 00:10:54,6,6,A,殺球,,,0
87,12,2025-09-28 00:10:55,6,6,B,放小球,,,0
88,12,2025-09-28 00:10:56,6,6,A,推球,,,0
89,12,2025-09-28 00:10:57,6,6,B,點扣,掛網,A,0
90,13,2025-09-28 00:11:18,7,6,A,發短球,,,1
91,13,2025-09-28 00:11:18,7,6,B,推球,,,1
92,13,2025-09-28 00:11:20,7,6,A,長球,,,1
93,13,2025-09-28 00:11:21,7,6,B,切球,,,1
94,13,2025-09-28 00:11:22,7,6,A,放小球,,,1
95,13,2025-09-28 00:11:23,7,6,B,勾球,,,1
96,13,2025-09-28 00:11:24,7,6,A,挑球,,,1
97,13,2025-09-28 00:11:25,7,6,B,後場抽平球,,,1
98,13,2025-09-28 00:11:26,7,6,A,擋小球,,,1
99,13,2025-09-28 00:11:27,7,6,B,推球,,,1
100,13,2025-09-28 00:11:28,7,6,A,切球,,,1
101,13,2025-09-28 00:11:29,7,6,B,挑球,,,1
102,13,2025-09-28 00:11:30,7,6,A,長球,,,1
103,13,2025-09-28 00:11:31,7,6,B,殺球,,,1
104,13,2025-09-28 00:11:32,7,6,A,擋小球,,,1
105,13,2025-09-28 00:11:33,7,6,B,挑球,出界,A,1
106,14,2025-09-28 00:11:54,8,6,A,發短球,,,2
107,14,2025-09-28 00:11:55,8,6,B,撲球,,,2
108,14,2025-09-28 00:11:55,8,6,A,防守回抽,對手落地致勝,A,2
109,15,2025-09-28 00:12:23,9,6,A,發短球,,,3
110,15,2025-09-28 00:12:24,9,6,B,推球,,,3
111,15,2025-09-28 00:12:25,9,6,A,後場抽平球,,,3
112,15,2025-09-28 00:12:26,9,6,B,擋小球,,,3
113,15,2025-09-28 00:12:26,9,6,A,挑球,,,3
114,15,2025-09-28 00:12:28,9,6,B,長球,出界,A,3
115,16,2025-09-28 00:12:45,10,6,A,未知球種,,,4
116,16,2025-09-28 00:12:47,10,6,B,後場抽平球,,,4
117,16,2025-09-28 00:12:48,10,6,A,切球,,,4
118,16,2025-09-28 00:12:49,10,6,B,挑球,出界,A,4
119,17,2025-09-28 00:13:06,11,6,A,未知球種,,,5
120,17,2025-09-28 00:13:12,11,6,B,切球,,,5
121,17,2025-09-28 00:13:13,11,6,A,挑球,,,5
122,17,2025-09-28 00:13:14,11,6,B,長球,,,5
123,17,2025-09-28 00:13:15,11,6,A,長球,,,5
124,17,2025-09-28 00:13:16,11,6,B,長球,,,5
125,17,2025-09-28 00:13:18,11,6,A,長球,,,5
126,17,2025-09-28 00:13:19,11,6,B,長球,,,5
127,17,2025-09-28 00:13:20,11,6,A,長球,,,5
131,17,2025-09-28 00:13:24,11,6,A,擋小球,,,5
130,17,2025-09-28 00:13:23,11,6,B,殺球,,,5
129,17,2025-09-28 00:13:22,11,6,A,推球,,,5
132,17,2025-09-28 00:13:25,11,6,B,推球,出界,A,5
128,17,2025-09-28 00:13:22,11,6,B,過度切球,,,5
135,18,2025-09-28 00:14:40,11,7,A,挑球,,,4
133,18,2025-09-28 00:14:38,11,7,A,發短球,,,4
134,18,2025-09-28 00:14:39,11,7,B,放小球,,,4
137,18,2025-09-28 00:14:42,11,7,A,擋小球,掛網,B,4
136,18,2025-09-28 00:14:42,11,7,B,殺球,,,4
143,19,2025-09-28 00:15:11,11,8,A,挑球,,,3
142,19,2025-09-28 00:15:10,11,8,B,放小球,,,3
139,19,2025-09-28 00:15:06,11,8,A,長球,,,3
138,19,2025-09-28 00:15:04,11,8,B,發長球,,,3
141,19,2025-09-28 00:15:09,11,8,A,切球,,,3
140,19,2025-09-28 00:15:08,11,8,B,長球,,,3
144,19,2025-09-28 00:15:12,11,8,B,殺球,,,3
145,19,2025-09-28 00:15:13,11,8,A,勾球,,,3
146,19,2025-09-28 00:15:14,11,8,B,推球,,,3
147,19,2025-09-28 00:15:15,11,8,A,長球,,,3
148,19,2025-09-28 00:15:16,11,8,B,長球,,,3
149,19,2025-09-28 00:15:16,11,8,A,切球,,,3
150,19,2025-09-28 00:15:18,11,8,B,挑球,,,3
151,19,2025-09-28 00:15:19,11,8,A,長球,,,3
152,19,2025-09-28 00:15:20,11,8,B,點扣,,,3
153,19,2025-09-28 00:15:21,11,8,A,擋小球,掛網,B,3
154,20,2025-09-28 00:15:52,11,9,B,發長球,,,2
155,20,2025-09-28 00:15:54,11,9,A,切球,,,2
156,20,2025-09-28 00:15:55,11,9,B,放小球,,,2
157,20,2025-09-28 00:15:56,11,9,A,放小球,,,2
158,20,2025-09-28 00:15:57,11,9,B,撲球,對手落地致勝,B,2
159,21,2025-09-28 00:16:18,12,9,B,未知球種,,,3
160,21,2025-09-28 00:16:19,12,9,A,長球,,,3
161,21,2025-09-28 00:16:20,12,9,B,殺球,,,3
162,21,2025-09-28 00:16:21,12,9,A,擋小球,,,3
163,21,2025-09-28 00:16:21,12,9,B,推球,出界,A,3
180,22,2025-09-28 00:17:17,13,9,A,推球,,,4
181,22,2025-09-28 00:17:18,13,9,B,過度切球,,,4
182,22,2025-09-28 00:17:19,13,9,A,放小球,,,4
183,22,2025-09-28 00:17:20,13,9,B,推球,,,4
184,22,2025-09-28 00:17:21,13,9,A,長球,,,4
185,22,2025-09-28 00:17:22,13,9,B,切球,,,4
186,22,2025-09-28 00:17:23,13,9,A,放小球,,,4
187,22,2025-09-28 00:17:24,13,9,B,放小球,,,4
188,22,2025-09-28 00:17:25,13,9,A,推球,,,4
189,22,2025-09-28 00:17:26,13,9,B,長球,,,4
190,22,2025-09-28 00:17:27,13,9,A,長球,,,4
191,22,2025-09-28 00:17:29,13,9,B,長球,,,4
176,22,2025-09-28 00:17:12,13,9,A,放小球,,,4
177,22,2025-09-28 00:17:13,13,9,B,挑球,,,4
178,22,2025-09-28 00:17:15,13,9,A,切球,,,4
179,22,2025-09-28 00:17:16,13,9,B,放小球,,,4
164,22,2025-09-28 00:17:01,13,9,A,發長球,,,4
165,22,2025-09-28 00:17:02,13,9,B,殺球,,,4
166,22,2025-09-28 00:17:02,13,9,A,擋小球,,,4
167,22,2025-09-28 00:17:03,13,9,B,挑球,,,4
168,22,2025-09-28 00:17:04,13,9,A,切球,,,4
169,22,2025-09-28 00:17:05,13,9,B,挑球,,,4
170,22,2025-09-28 00:17:07,13,9,A,殺球,,,4
171,22,2025-09-28 00:17:07,13,9,B,擋小球,,,4
172,22,2025-09-28 00:17:08,13,9,A,挑球,,,4
173,22,2025-09-28 00:17:09,13,9,B,切球,,,4
174,22,2025-09-28 00:17:10,13,9,A,挑球,,,4
175,22,2025-09-28 00:17:11,13,9,B,切球,,,4
193,22,2025-09-28 00:17:31,13,9,B,切球,掛網,A,4
192,22,2025-09-28 00:17:29,13,9,A,長球,,,4
207,23,2025-09-28 00:18:09,13,10,B,放小球,,,3
206,23,2025-09-28 00:18:08,13,10,A,擋小球,,,3
203,23,2025-09-28 00:18:05,13,10,B,長球,,,3
202,23,2025-09-28 00:18:04,13,10,A,推球,,,3
205,23,2025-09-28 00:18:07,13,10,B,殺球,,,3
204,23,2025-09-28 00:18:06,13,10,A,長球,,,3
199,23,2025-09-28 00:18:02,13,10,B,防守回抽,,,3
198,23,2025-09-28 00:18:02,13,10,A,殺球,,,3
197,23,2025-09-28 00:18:01,13,10,B,長球,,,3
196,23,2025-09-28 00:18:00,13,10,A,推球,,,3
195,23,2025-09-28 00:17:59,13,10,B,放小球,,,3
194,23,2025-09-28 00:17:58,13,10,A,未知球種,,,3
201,23,2025-09-28 00:18:04,13,10,B,點扣,,,3
200,23,2025-09-28 00:18:03,13,10,A,長球,,,3
208,23,2025-09-28 00:18:10,13,10,A,挑球,,,3
209,23,2025-09-28 00:18:12,13,10,B,殺球,,,3
210,23,2025-09-28 00:18:13,13,10,A,防守回挑,,,3
211,23,2025-09-28 00:18:14,13,10,B,後場抽平球,,,3
212,23,2025-09-28 00:18:14,13,10,A,過度切球,,,3
213,23,2025-09-28 00:18:15,13,10,B,撲球,,,3
214,23,2025-09-28 00:18:16,13,10,A,平球,,,3
215,23,2025-09-28 00:18:17,13,10,B,殺球,對手落地致勝,B,3
219,24,2025-09-28 00:18:56,14,10,A,放小球,,,4
218,24,2025-09-28 00:18:55,14,10,B,勾球,,,4
221,24,2025-09-28 00:18:58,14,10,A,殺球,對手落地致勝,A,4
220,24,2025-09-28 00:18:57,14,10,B,推球,,,4
217,24,2025-09-28 00:18:54,14,10,A,切球,,,4
216,24,2025-09-28 00:18:52,14,10,B,發長球,,,4
223,25,2025-09-28 00:19:21,15,10,B,推球,,,5
222,25,2025-09-28 00:19:20,15,10,A,未知球種,,,5
224,25,2025-09-28 00:19:21,15,10,A,平球,,,5
225,25,2025-09-28 00:19:22,15,10,B,擋小球,,,5
226,25,2025-09-28 00:19:22,15,10,A,挑球,,,5
227,25,2025-09-28 00:19:24,15,10,B,殺球,,,5
228,25,2025-09-28 00:19:24,15,10,A,挑球,,,5
229,25,2025-09-28 00:19:25,15,10,B,後場抽平球,,,5
230,25,2025-09-28 00:19:26,15,10,A,切球,,,5
231,25,2025-09-28 00:19:27,15,10,B,放小球,未過網,A,5
235,26,2025-09-28 00:19:51,16,10,B,殺球,掛網,A,6
234,26,2025-09-28 00:19:50,16,10,A,長球,,,6
232,26,2025-09-28 00:19:48,16,10,A,未知球種,,,6
233,26,2025-09-28 00:19:49,16,10,B,挑球,,,6
237,27,2025-09-28 00:20:11,16,11,B,推球,,,5
239,27,2025-09-28 00:20:12,16,11,B,勾球,,,5
240,27,2025-09-28 00:20:13,16,11,A,放小球,,,5
242,27,2025-09-28 00:20:15,16,11,A,推球,出界,B,5
236,27,2025-09-28 00:20:10,16,11,A,發短球,,,5
238,27,2025-09-28 00:20:12,16,11,A,殺球,,,5
241,27,2025-09-28 00:20:14,16,11,B,放小球,,,5
245,28,2025-09-28 00:20:57,17,11,B,長球,出界,A,6
243,28,2025-09-28 00:20:54,17,11,B,未知球種,,,6
244,28,2025-09-28 00:20:56,17,11,A,長球,,,6
248,29,2025-09-28 00:21:17,18,11,A,殺球,對手落地致勝,A,7
247,29,2025-09-28 00:21:16,18,11,B,推球,,,7
246,29,2025-09-28 00:21:15,18,11,A,發短球,,,7
251,30,2025-09-28 00:21:38,19,11,A,切球,,,8
253,30,2025-09-28 00:21:40,19,11,A,長球,,,8
254,30,2025-09-28 00:21:41,19,11,B,長球,,,8
255,30,2025-09-28 00:21:42,19,11,A,長球,,,8
252,30,2025-09-28 00:21:39,19,11,B,推球,,,8
257,30,2025-09-28 00:21:44,19,11,A,擋小球,,,8
258,30,2025-09-28 00:21:45,19,11,B,勾球,,,8
259,30,2025-09-28 00:21:46,19,11,A,挑球,,,8
260,30,2025-09-28 00:21:48,19,11,B,切球,,,8
261,30,2025-09-28 00:21:49,19,11,A,勾球,,,8
262,30,2025-09-28 00:21:49,19,11,B,放小球,,,8
263,30,2025-09-28 00:21:50,19,11,A,挑球,,,8
256,30,2025-09-28 00:21:44,19,11,B,殺球,,,8
250,30,2025-09-28 00:21:37,19,11,B,長球,,,8
249,30,2025-09-28 00:21:35,19,11,A,未知球種,,,8
270,30,2025-09-28 00:21:57,19,11,B,放小球,,,8
269,30,2025-09-28 00:21:56,19,11,A,擋小球,,,8
267,30,2025-09-28 00:21:55,19,11,A,長球,,,8
268,30,2025-09-28 00:21:56,19,11,B,殺球,,,8
272,30,2025-09-28 00:22:00,19,11,B,切球,掛網,A,8
271,30,2025-09-28 00:21:58,19,11,A,挑球,,,8
265,30,2025-09-28 00:21:53,19,11,A,擋小球,,,8
266,30,2025-09-28 00:21:54,19,11,B,推球,,,8
264,30,2025-09-28 00:21:52,19,11,B,殺球,,,8
273,31,2025-09-28 00:22:25,19,12,A,未知球種,出界,B,7
278,32,2025-09-28 00:22:49,20,12,B,切球,掛網,A,8
274,32,2025-09-28 00:22:43,20,12,B,發長球,,,8
276,32,2025-09-28 00:22:46,20,12,B,放小球,,,8
277,32,2025-09-28 00:22:47,20,12,A,挑球,,,8
275,32,2025-09-28 00:22:45,20,12,A,切球,,,8
282,33,2025-09-28 00:23:09,20,13,B,放小球,,,7
283,33,2025-09-28 00:23:10,20,13,A,挑球,,,7
281,33,2025-09-28 00:23:08,20,13,A,過度切球,,,7
285,33,2025-09-28 00:23:13,20,13,A,殺球,出界,B,7
284,33,2025-09-28 00:23:12,20,13,B,長球,,,7
280,33,2025-09-28 00:23:07,20,13,B,推球,,,7
279,33,2025-09-28 00:23:06,20,13,A,發短球,,,7
287,34,2025-09-28 00:23:34,20,14,A,長球,,,6
286,34,2025-09-28 00:23:32,20,14,B,發長球,,,6
288,34,2025-09-28 00:23:35,20,14,B,長球,對手落地致勝,B,6
300,35,2025-09-28 00:24:12,20,15,A,長球,,,5
299,35,2025-09-28 00:24:10,20,15,B,長球,,,5
301,35,2025-09-28 00:24:13,20,15,B,殺球,,,5
303,35,2025-09-28 00:24:15,20,15,B,撲球,,,5
308,35,2025-09-28 00:24:17,20,15,A,擋小球,,,5
309,35,2025-09-28 00:24:18,20,15,B,撲球,對手落地致勝,B,5
302,35,2025-09-28 00:24:14,20,15,A,擋小球,,,5
289,35,2025-09-28 00:24:00,20,15,B,發長球,,,5
290,35,2025-09-28 00:24:02,20,15,A,殺球,,,5
296,35,2025-09-28 00:24:07,20,15,A,殺球,,,5
294,35,2025-09-28 00:24:05,20,15,A,推球,,,5
295,35,2025-09-28 00:24:06,20,15,B,長球,,,5
306,35,2025-09-28 00:24:16,20,15,A,防守回挑,,,5
304,35,2025-09-28 00:24:15,20,15,A,防守回抽,,,5
305,35,2025-09-28 00:24:15,20,15,B,殺球,,,5
307,35,2025-09-28 00:24:17,20,15,B,殺球,,,5
291,35,2025-09-28 00:24:02,20,15,B,防守回抽,,,5
293,35,2025-09-28 00:24:04,20,15,B,後場抽平球,,,5
297,35,2025-09-28 00:24:08,20,15,B,放小球,,,5
298,35,2025-09-28 00:24:09,20,15,A,挑球,,,5
292,35,2025-09-28 00:24:03,20,15,A,推球,,,5
314,36,2025-09-28 00:25:02,21,15,B,長球,出界,A,6
311,36,2025-09-28 00:24:58,21,15,A,切球,,,6
310,36,2025-09-28 00:24:44,21,15,B,未知球種,,,6
312,36,2025-09-28 00:25:00,21,15,B,挑球,,,6
313,36,2025-09-28 00:25:01,21,15,A,長球,,,6
